name_firm,street_name,category
Гомельская городская ветеринарная станция,ул. Интернациональный проезд 27 ,Бизнес
Садово-парковые фигуры,ул. Каменщикова 3/1 ,Товары для дома и дачи
Белстройкомплект,ул. Озёрная 56 ,Продажа электротехнической продукции
Малюр,ул. Сухого 16 ,Уход за внешностью
Fen-X,ул. Богдана Хмельницкого 74 ,Косметика и парфюмерия
Автоазимут,ул. Шоссейная 1 ,Автомобили
Турагенство Майами,ул. Речицкая 2 ,Турагентство
Сластёна,ул. Ильича 85Б ,Товары для дома и дачи
Три кита,ул. Ветковская 1 (Индекс: 246022),НИИ
Гомельский ликеро-водочный завод Радамир,ул. Севастопольская 106 ,Производство и поставки
Лотос,ул. Ветковская 1 (Индекс: 246022),Организация праздников
Мусорная площадка,ул. Ильича 87Г ,Бытовые услуги
СДЮШОР № 2 г. Гомеля,ул. Волгоградская 14/4 ,Спорт
БелДрук,ул. Советская 60В ,Культура и искусство
Белритуал-сервис,ул. Барыкина 134 ,Ритуальные услуги
Спутник моторс,ул. Междугородняя 3А ,Автомобили
Жильё посуточно,ул. Интернациональная 9 ,Недвижимость
Добрая семья,ул. проспект Октября 27 (Индекс: 246029),"Семья, дети, домашние животные"
Probka.by,ул. Богдана Хмельницкого 59 ,Автомобили
Улица Жарковского,ул. Советская 28 ,Продажа автобусных билетов
Гомельхлебпром,ул. Интернациональная 8 ,Кафе
Zuker.by,ул. Кооперативная 30 ,Компьютеры и интернет
СОЖ,ул. Шилова 12А ,Товары для дома и дачи
Сток Восторг,ул. Катунина 5 ,Магазины секонд-хенд
Ателье Индпошив,ул. Советская 163 ,Ателье по пошиву одежды
Чистомед,ул. Бабушкина 1 ,Производство и поставки
Полиграфические услуги,ул. Интернациональная 25 ,Полиграфические услуги
Ясли-Сад № 14,ул. проспект Октября 9 ,Наука и образование
Ремонт Окон ПВХ Гомель,ул. Клермон-Ферран 15 ,Бытовые услуги
Парикмахерская,ул. Оськина 8 ,Уход за внешностью
Белпочта,ул. Стрельца 13 ,Почта
Remstirka.by,ул. Черноморская 7 ,Бытовые услуги
Строй ТУТ,ул. Шилова 16 ,Строительство
Копеечка дискаунтер,ул. Рощинская 10 ,Товары для дома и дачи
Суперлото,ул. Богдана Хмельницкого 71 ,Отдых и туризм
Двери,ул. Украинская 23 ,Стройматериалы
Мобильные аксессуары,ул. Советская 200 ,Телекоммуникации и связь
СэдВаш,ул. Островского 101 ,Производство и поставки
Одежда для всех,ул. Крестьянская 41 ,Магазины секонд-хенд
QIWI,ул. Кирова 90А ,Платежный терминал
Империя Обоев,ул. Речицкий проспект 18 (Индекс: 246027),Стройматериалы
Стройпанорама,ул. 1-й переулок Крупской 4Б ,Лакокрасочные материалы
Любимая аптека,ул. Юбилейная 8 ,Медицина и фармацевтика
Системы профессионального крепежа,ул. Текстильная 3 ,Продажа крепежных изделий
ГУО Средняя школа № 8,ул. 50 лет БССР 4 ,Школы
Лукошко,ул. Чечерская 13А ,Товары для дома и дачи
Зоотовары,ул. Карповича 10 ,"Семья, дети, домашние животные"
Табакерка,ул. Речицкий проспект 63А ,Товары для дома и дачи
Брадэк,ул. Бочкина 157 ,Строительство и недвижимость
Europcar,ул. Ирининская 25 ,Транспорт и перевозки
ЭнергоЭксперт,ул. Лепешинского 38А ,Строительство
Мусорная площадка,ул. Владимирова 59 ,Бытовые услуги
Оптторглюкс ОДО,ул. 2-я Витебская 30 ,Стройматериалы оптом
Страховой центр,ул. Советская 29А ,Все виды страхования
Промстройметалл,ул. Объездная 30А ,Производство и поставки
"Новая Почта, Грузовое отделение № 1",ул. Богдана Хмельницкого 43 ,Бизнес
Мусорная площадка,ул. Свиридова 11 ,Бытовые услуги
Бюро автоэкспертиз,ул. Артиллерийская 6 (Индекс: 246022),Бизнес
Белнефтестрах,ул. Свердлова 4 ,Все виды страхования
Участковый пункт полиции,ул. Брянская 2А ,Государство
Гимназия № 10 г. Гомеля,ул. Карла Маркса 4 ,Школы
Парикмахерская,ул. Украинская 12 ,Уход за внешностью
Дом у реки,ул. 1-я Заводская 41А ,Отдых и туризм
Магазин продуктов,ул. Максима Богдановича 22А ,Товары для дома и дачи
"Гомельская областная детская клиническая больница, Кабинеты РКТ, МРТ",ул. Жарковского 7/5 ,Медицина и фармацевтика
GenToro,ул. Гагарина 65 ,Товары для дома и дачи
Оптика Мона,ул. Советская 30 ,Контактные линзы
Сит Мастер,ул. Советская 126 ,Продажа компьютеров
Vdom - посуда и товары для дома,ул. Советская 149 ,Товары для дома и дачи
Podaruev.com,ул. проспект Октября 28 (Индекс: 246029),Продажа и установка окон
NOld Technologies,ул. Гагарина 49 ,Компьютеры и интернет
Отделение почтовой связи Гомель 246009,ул. Добрушская 4 ,Почта
"СитиВент - Вентиляция в Гомеле продажа, монтаж и паспортизация. Вентиляторы и воздуховоды",ул. Артиллерийская 2 (Индекс: 246022),Установка кондиционеров
Магазин,ул. Луговая 67 ,Транспорт и перевозки
Pompa,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Милавица,ул. проспект Победы 16Б ,Товары для дома и дачи
Регламент,ул. Кирова 30 ,Услуги бухгалтера
Белинвестбанк Инфокиоск № 518,ул. Лазурная 19 ,Реклама
"Гомельская тепло-электро централь № 2, Общежитие",ул. Барыкина 169 ,Туризм
Good Apartments,ул. Космическая 7 ,Недвижимость
Men,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Тип-топ,ул. Советская 60 ,Товары для дома и дачи
Оптовая база,ул. Шилова 1 ,Товары для дома и дачи
Стройка,ул. Федюнинского 19А ,Стройматериалы
Цсв,ул. проспект Октября 28 (Индекс: 246029),Производство и поставки
Lamoda.by,ул. Гагарина 65 ,Товары для дома и дачи
JoinUP,ул. Кирова 51 (Индекс: 246022),Турагентство
РУП Гф Белорусский протезно-ортопедический восстановительный центр,ул. Владимирова 8А ,Медицина и фармацевтика
Lexs,ул. Барыкина 155 ,Продажа детской мебели
Гомельводпроект,ул. Советская 126 ,Промышленное строительство
Ателье,ул. Советская 61 ,Ателье по пошиву одежды
Western Union,ул. Барыкина 161 ,Денежные переводы
ПАХОМиК,ул. Огоренко 33 ,Магазин подарков и сувениров
Мясной бум,ул. проспект Ленина 49 ,Товары для дома и дачи
Натяжные потолки в Житковичах,ул. Советская 8 (Индекс: 246048),Стройматериалы
Металлические Ворота и Забор,ул. проспект Ленина 49 ,Стройматериалы
Доставка Мигом,ул. 50 лет БССР 3 ,Бизнес
Детский сад,ул. Октябрьская 2 ,Наука и образование
Мазик Бай,ул. Барыкина 230 ,Недвижимость
Аптека № 194/2,ул. Героев Подпольщиков 13А ,Медицина и фармацевтика
Акваколор,ул. Кирова 136 ,Стройматериалы
ЗооДом,ул. Жарковского 2А ,"Семья, дети, домашние животные"
Сафира Люкс,ул. Жарковского 22 ,Уход за внешностью
Парковка,ул. Головацкого 91А ,Автомобили
Минимаркет,ул. Рябиновая 1 ,Товары для дома и дачи
Store Vape cafe & shop,ул. Крестьянская 41 ,Отдых и туризм
РБУ основа,ул. Тельмана 4 ,Стройматериалы
Общежитие № 11,ул. проспект Космонавтов 74 ,Туризм
The Cler,ул. проспект Ленина 24 ,Кафе
Аптека № 180 Гомельское РУП II категории Фармация,ул. Кожара 2 ,Медицина и фармацевтика
ЛЛК филиал в г. Гомель,ул. Пригородная 4А ,Строительство и недвижимость
Парковка,ул. Ильича 331Б ,Автомобили
ЖЭУ № 7,ул. Осипова 15 ,Недвижимость
Цемент,ул. Бориса Царикова 53А ,Стройматериалы
Гомельмелиоводхоз,ул. Советская 126 ,Строительство и недвижимость
ФрилансГрупп,ул. Интернациональная 13 ,Наука и образование
Детские игровые залы и площадки,ул. Черноморская 7 ,Развлечения
KIA Атлант-М Гомель,ул. Киселёва 3Б ,Товары для дома и дачи
Смайлик,ул. Речицкий проспект 131А ,Полиграфия
Ювелирная мастерская,ул. Катунина 4 ,Бытовые услуги
Управление по гражданству и миграции УВД Гомельского Облисполкома,ул. Карповича 9 ,Миграционные службы
Ремонт мобильной техники,ул. 60 лет СССР 6 (Индекс: 246049),Ремонт телефонов
Гаражный кооператив № 12,ул. Карбышева 14 (Индекс: 246029),Автомобили
Авторазбока,ул. переулок Бакунина 2А ,Автомобили
Дискаунтер,ул. Речицкий проспект 40 ,Товары для дома и дачи
Центральный районный отдел Гомельского областного управления фонда социальной защиты населения,ул. Кирова 17 ,Государство
DoMira,ул. Гагарина 65 ,Товары для дома и дачи
Белоруснефть,ул. Героев Подпольщиков 20 ,АЗС
Автомобильная парковка,ул. Речицкий проспект 80 ,Автомобили
Ryzhiktattoo,ул. Карбышева 9 (Индекс: 246029),Уход за внешностью
Rpc,ул. Шандалова 26/2 ,Автомобили
Красная Гвоздика,ул. Аграрная 2 ,Городское благоустройство
Добрыя лекi,ул. Катунина 22 ,Медицина и фармацевтика
Мілкавіта,ул. Ильича 299 ,Товары для дома и дачи
Медея,ул. Советская 57 ,Медицина и фармацевтика
Велопарковка,ул. Мазурова 110 ,Велопарковка
АвтоТракМоторс,ул. Барыкина 277 ,Автомобили
Prokatit,ул. Пушкина 24 ,Отдых и туризм
Нептун,ул. Шоссейная 43 ,Спорт
Фабрика дверей,ул. проспект Ленина 10 ,Продажа и установка окон
СантехЛиния,ул. Украинская 19 ,Стройматериалы
Золотая мечта,ул. Косарева 18 ,Товары для дома и дачи
На связи,ул. Хатаевича 9 ,Товары для дома и дачи
Мусорная площадка,ул. Олимпийская 8 ,Бытовые услуги
Большой праздник,ул. проспект Октября 36 ,Организация праздников
Магазин промтоваров,ул. Достоевского 14 ,Товары для дома и дачи
Гринвэй,ул. 60 лет СССР 23 ,Турагентство
Домашний,ул. проспект Победы 1 ,Товары для дома и дачи
Цветы,ул. Бочкина 223А ,Организация праздников
Адвокат-медиатор Старовойтова Оксана Васильевна,ул. Барыкина 113 ,Юридические услуги
Смак,ул. Барыкина 289А/1 ,Товары для дома и дачи
Бытовая Техника First,ул. Катунина 20 ,Бытовая техника
Люкс-Оптика,ул. Огоренко 33 ,Контактные линзы
QIWI,ул. Т.С. Бородина 6 ,Платежный терминал
АМАКС Визит-отель,ул. Киселёва 6 ,Туризм
Кухни Геос-Идел,ул. Карповича 45 ,Бытовая техника
Автомобильная парковка,ул. М.Г. Ефремова 20А ,Автомобили
Дом быта,ул. Катунина 20 ,Ремонт одежды
Альва Транс-Тур,ул. Советская 29 ,НИИ
"Белавтодор, филиал мостостроительное управление № 4",ул. Базовая 11 ,Строительство
GoldNiklas,ул. Кирова 53 ,Мебель на заказ
La Beauty,ул. Советская 29 ,Уход за внешностью
Фейерверки,ул. Ирининская 16Б ,Организация праздников
Fox-catering,ул. Пушкина 14 ,Кафе
Информационно-правовое агентство Регистр,ул. Кирова 40 ,Бытовые услуги
Рассвет,ул. Жемчужная 12 ,Товары для дома и дачи
Аквариум,ул. Рабочая 22А ,"Семья, дети, домашние животные"
Fur Dasha Zhurbina,ул. 60 лет СССР 19 ,Товары для дома и дачи
Verally,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Гоцор по теннису,ул. Мазурова 110 ,Уход за внешностью
Велопарковка,ул. Михаила Ломоносова 14А ,Велопарковка
СветМ,ул. Речицкий проспект 4 (Индекс: 246027),Реклама
Кайман,ул. Речицкий проспект 86А ,Развлечения
Продстиль,ул. Троллейбусная 12 ,Производство и поставки
Фото,ул. проспект Октября 67 (Индекс: 246029),Культура и искусство
Детский сад-школа № 68,ул. проспект Ленина 12А ,Школы
Продукты,ул. Мазурова 129 ,Товары для дома и дачи
Стрижка собак в,ул. Свиридова 69 ,Уход за внешностью
Парковка,ул. Ильича 161А ,Автомобили
Дипломов,ул. Жарковского 11 ,Наука и образование
Сияние,ул. Советская 39 (Индекс: 246022),Товары для дома и дачи
Эко птичка,ул. Косарева 17 ,Товары для дома и дачи
Auri Bel,ул. Достоевского 1 ,Производство и поставки
Забавушка,ул. Карповича 39А ,Детские игрушки и игры
Белинвестбанк Инфокиоск № 520,ул. проспект Октября 50 ,Реклама
Нотариальная контора № 1 Железнодорожного района г. Гомеля,ул. Кожара 2 ,Юридические услуги
QIWI,ул. Озёрная 15 ,Платежный терминал
Семь Холмов,ул. Барыкина 154 ,Производство и поставки
Skat.by,ул. Кожара 1 ,Шины и диски
Кузница,ул. Каменщикова 1 ,Продажа кованых изделий
Общежитие № 1,ул. Дворникова 11 ,Туризм
DeFacto,ул. Речицкий проспект 5В (Индекс: 246027),Товары для дома и дачи
Автошкола,ул. Советская 180 ,Автошколы
Квака,ул. Д.Н. Пенязькова 23 (Индекс: 246029),Товары для дома и дачи
Пожарная аварийно-спасательная часть № 3,ул. Урицкого 94А ,Безопасность
Укс-контакт,ул. Ярославская 24 ,Контрольно-измерительные приборы
Ясли-сад № 83,ул. переулок Катунина 19А ,Наука и образование
Магазин салютов и фейерверков,ул. Владимирова 16 ,Организация праздников
Фотодром,ул. Ильича 36 ,Полиграфия
Лазерная резка металла,ул. Владимирова 10/8 ,Обработка металла
Taboo,ул. Советская 12 ,Кафе
Исправительное учреждение открытого типа № 17,ул. Борисенко 13 ,Государство
Центр наладки и автоматизации,ул. Ярославская 19 ,Медицина и фармацевтика
Строй-Гефест,ул. Текстильная 10Б ,Стройматериалы
Алекс,ул. Ландышева 12 ,Уход за внешностью
Триада Тур,ул. Интернациональная 11 ,Турагентство
Белоруский лён,ул. Гагарина 65 ,Товары для дома и дачи
Великолепие,ул. Мазурова 119 ,Уход за внешностью
"Гомельская центральная городская поликлиника, филиал № 8",ул. Богданова 12 ,Медицина и фармацевтика
Управления принудительного исполнения Главного управления юстиции Гомельского областного исполнительного комитета,ул. Фрунзе 6 ,Государство
GSM service,ул. Интернациональная 27 ,Продажа компьютеров
Ремонт одежды,ул. проспект Космонавтов 61 ,Ремонт одежды
Студия кухни Зов,ул. Советская 134Б ,Кухонная мебель
Строймастер,ул. проспект Октября 95 (Индекс: 246029),Стройматериалы
Шиномонтаж,ул. 10-я Новосёлковая 1 ,Шиномонтаж
Powershop,ул. Речицкий проспект 7А (Индекс: 246027),Продажа спортивного питания
Фаберлик,ул. Хатаевича 9 ,Косметика и парфюмерия
Gefest,ул. Советская 119 ,Бытовая техника
Строительный магазин Домашний Мастер,ул. проспект Космонавтов 21 ,Продажа компьютеров
Школа каратэ,ул. Волотовская 9 ,Спорт
Гомельбетон,ул. 6-я Иногородняя 54 ,Бизнес
Продукты,ул. Чонгарской Дивизии 5/12 ,Товары для дома и дачи
Все для сварки,ул. Владимирова 14 ,Продажа сварочного оборудования
Добролек,ул. Свиридова 15 ,Медицина и фармацевтика
Ювелирная мастерская,ул. Советская 6 ,Бытовые услуги
КомфортСтальТорг,ул. Интендантская 2 ,Производство и поставки
Second hand,ул. 60 лет СССР 6 (Индекс: 246049),Магазины секонд-хенд
Моя аптека,ул. проспект Октября 22 (Индекс: 246027),Медицина и фармацевтика
ТриумфТехСтрой,ул. 3-я Линейная 22 ,Строительство и недвижимость
Ремонт обуви,ул. Верхняя 76 ,Ремонт обуви
Твое,ул. Советская 60 ,Товары для дома и дачи
Алекс-Тур,ул. Чечерская 17 ,Турагентство
Быстрое питание,ул. проспект Победы 11 ,Быстрое питание
Беларусбанк,ул. Ильича 331 ,Бизнес
Универмаг Гомель,ул. Советская 60 ,Товары для дома и дачи
Первичная профсоюзная организация Ау Румянцевское,ул. Братьев Лизюковых 1 (Индекс: 246029),Общество
Кроусинтез,ул. 8-я Новосёлковая 14 ,Установка кровли
Золотая нить,ул. Сосновая 18А ,Ремонт одежды
Доброном,ул. Михаила Ломоносова 20А ,Товары для дома и дачи
Сибуд,ул. Моисеенко 1 ,Производство и поставки
Электрика,ул. М.Е. Салтыкова-Щедрина 2 ,Товары для дома и дачи
Аптека № 125,ул. Бориса Царикова 48 ,Медицина и фармацевтика
Отделение почтовой связи Гомель № 246042,ул. Ильича 87 ,Почта
Женская консультация,ул. Героев Подпольщиков 13А ,Медицина и фармацевтика
Гомельлифт,ул. проспект Ленина 2 ,Строительство и недвижимость
На связи,ул. Советская 200 ,Товары для дома и дачи
Книжный магазин № 1 филиал Белкнига,ул. Тельмана 1 ,Культура и искусство
Остров чистоты и вкуса,ул. проспект Октября 28В (Индекс: 246029),Косметика и парфюмерия
"Гомельская городская клиническая больница № 3, хирургическое отделение № 1",ул. Ильича 286 ,Медицина и фармацевтика
Зоомагазин,ул. Речицкий проспект 65 ,"Семья, дети, домашние животные"
Ясли-сад № 125,ул. Владимирова 53 ,Наука и образование
"Old Street. Цветы, подарки, сувениры",ул. Катунина 3 ,Организация праздников
Магазин обуви,ул. проспект Ленина 51 ,Товары для дома и дачи
Интернет-магазин строительных материалов Homel.by,ул. Федосеенко 4 ,Стройматериалы
Life:),ул. проспект Ленина 16 ,Телекоммуникации и связь
OpenMyGame,ул. Интернациональная 13 ,Компьютеры и интернет
Паутина,ул. Богдана Хмельницкого 59 ,Религия
Брандбилдинг ЧПУП,ул. Ауэрбаха 68 ,Нанесение покрытий
Хоккейный клуб Гомель,ул. Мазурова 112 ,Спорт
Белагропромбанк,ул. Мазурова 10В ,Бизнес
"Ггу им. Ф. Скорины, Общежитие № 2",ул. Кирова 122А ,Туризм
Детские игровые залы и площадки,ул. 50 лет Завода Гомсельмаш 18 ,Развлечения
Автолавка,ул. Подгорная 14 (Индекс: 246022),Аксессуары для автомобилей
Магнетит проект,ул. 2-я Революционная 8 ,Строительство и недвижимость
Техавтотранс,ул. Речицкий проспект 39 ,Транспорт и перевозки
Профильный Забор по Гомелю,ул. проспект Ленина 49 ,Стройматериалы
Технобанк,ул. Советская 60 ,Бизнес
Павлинка,ул. Речицкий проспект 22 (Индекс: 246027),Товары для дома и дачи
Icom Service,ул. Комсомольская 6 ,Продажа компьютеров
Arso.by,ул. Барыкина 230Б ,Лакокрасочные материалы
Lysenko Tattoo,ул. Привокзальная площадь 1 (Индекс: 246022),Уход за внешностью
Драгоценности Урала,ул. проспект Ленина 47 ,Финансы
Магазин № 3,ул. Богдана Хмельницкого 79 ,Товары для дома и дачи
Шах и Мат,ул. Крестьянская 37 ,Отдых и туризм
Прима,ул. Речицкий проспект 4 ,Товары для дома и дачи
"Гомсельмаш, кузнечный цех",ул. Шоссейная 41 ,Производство и поставки
Дзюдо Прайд,ул. Советская 60 ,Спорт
Sweet Land,ул. Крестьянская 30 ,Кафе
Магазин бытовой химии,ул. Алмазная 4 ,Товары для дома и дачи
Інком & Тревел,ул. Ветковская 2 (Индекс: 246022),Бизнес
Гомельский завод станочных узлов,ул. 8-я Иногородняя 1 ,Металлообрабатывающее оборудование
Курсы Autodesk Revit в Гомеле,ул. проспект Ленина 10 ,Наука и образование
Изюм,ул. Барыкина 137 ,Салон бровей и ресниц
Остров чистоты,ул. Советская 149 ,Косметика и парфюмерия
Автошкола,ул. Павлова 46А ,Автошколы
Life:),ул. Сухого 2 ,Телекоммуникации и связь
Минск Кристалл,ул. Ильича 59 ,Товары для дома и дачи
Пралимпийский Фонд Города Гомеля,ул. проспект Октября 17 ,Недвижимость
Ньюмебель,ул. Советская 149 ,Мебель на заказ
7 Карат Ювелирный магазин ЧТУП Платина-групп,ул. Речицкий проспект 5В (Индекс: 246027),Производство и поставки
Музей истории города Гомеля,ул. Пушкина 32 ,Культура и искусство
Сильный Пол,ул. Барыкина 277 ,Напольные покрытия
Трибута-Консалт,ул. Интернациональная 10А ,Услуги бухгалтера
Davinagaz,ул. Ильича 331 ,Автомобили
ОПС № 30,ул. Незалежности 1Б ,Почта
Региональная научно-медицинская библиотека,ул. Ланге 1 ,Культура и искусство
СельхозАгроСервис,ул. Барыкина 155 ,Производство и поставки
А-маркет,ул. Советская 144 ,Товары для дома и дачи
Памятники,ул. 5-й переулок Ильича 1 ,Изготовление памятников и надгробий
Wildberries.by,ул. проспект Ленина 33 ,Пункт выдачи
Основа,ул. Советская 61 ,Недвижимость
Бизнес-центр,ул. проспект Ленина 10 ,Недвижимость
Патио,ул. Коммунаров 6 ,Кафе
Промвентал,ул. Советская 29 ,Установка кондиционеров
Дана,ул. Рогачёвская 4 ,Уход за внешностью
Сэйфблок,ул. проспект Ленина 12А ,Производство и поставки
Ремонт обуви,ул. переулок Якуба Коласа 57 ,Ремонт обуви
Кристалл,ул. Огоренко 33 ,Товары для дома и дачи
Garage food&coffee,ул. Речицкий проспект 5В (Индекс: 246027),Кафе
Мусорная площадка,ул. Макаёнка 27 ,Бытовые услуги
БелБизнесПринт,ул. Шоссейная 41/56 ,Полиграфические услуги
СОЖ,ул. Крестьянская 16 ,Туризм
Продукты,ул. Советская 169А ,Товары для дома и дачи
ГидраАрсенал,ул. Барыкина 254А ,Производство и поставки
Туник,ул. Пригородная 4А ,Юридические услуги
Askerweb,ул. Речицкая 1А ,Кафе
Косметичка,ул. Советская 40А (Индекс: 246022),Косметика и парфюмерия
Индустрия холода,ул. Каменщикова 1 ,Продажа корпусной мебели
Ритуальный салон Лукашевых,ул. Крупской 193 ,Ритуальные услуги
Тамерлан-Стиль,ул. 10 лет Октября 1 ,Производство и поставки
Ясли-Сад № 107 г. Гомеля,ул. Павлова 22А ,Наука и образование
Ремонт одежды,ул. Речицкий проспект 42 ,Ремонт одежды
Остров чистоты и вкуса,ул. Т.С. Бородина 2 ,Косметика и парфюмерия
Медуница,ул. Черноморская 1 ,Наука и образование
ООО ЕвроСожОпт,ул. Речицкий проспект 135Б ,Тара и упаковка
Толькi Hand made,ул. проспект Ленина 34 ,Магазин подарков и сувениров
Продукты,ул. Богдана Хмельницкого 5А ,Товары для дома и дачи
Копеечка,ул. Мазурова 99А ,Товары для дома и дачи
Следственный изолятор № 3,ул. Книжная 1А/7 ,Государство
Общежитие № 3,ул. Интернациональная 16 ,Туризм
Центральная скупка,ул. Ильича 59А ,Бытовая техника
Гомельское РУП Фармация аптека № 187 Ii категории,ул. Урицкого 36 ,Медицина и фармацевтика
За обе щеки,ул. проспект Победы 12 (Индекс: 246022),Быстрое питание
Мусорная площадка,ул. проспект Ленина 47Д ,Бытовые услуги
Ремонт обуви,ул. Катунина 5 ,Ремонт обуви
Стройная мама,ул. Кирова 30 ,Спорт
РуфТорг,ул. Лепешинского 2А ,Стройматериалы
Долото групп,ул. Барыкина 303А/3 ,Стройматериалы
Усадьба,ул. Свиридова 11 ,Товары для дома и дачи
Мусорная площадка,ул. Бориса Царикова 7 ,Бытовые услуги
Твой вкус,ул. Советская 149 ,Кафе
Магазин косметики и парфюмерии,ул. Т.С. Бородина 6 ,Косметика и парфюмерия
На Косарева,ул. Косарева 2А ,Кузовной ремонт автомобиля
Асгард мебель,ул. Брестская 5 ,Недвижимость
Найс-Лик,ул. М.Г. Ефремова 4 ,Уход за внешностью
СПТО-Инженеринг,ул. Рабочая 13 ,Производство и поставки
Автомобильные грузоперевозки,ул. Макаёнка 27 ,Транспорт и перевозки
Тигр,ул. Тельмана 44 ,Полиграфические услуги
Камила,ул. Жарковского 8 ,Уход за внешностью
Троица салон,ул. Борисенко 2 ,Ритуальные услуги
Магазин одежды,ул. проспект Октября 81 (Индекс: 246029),Товары для дома и дачи
Мастер-класс ЛТД,ул. Артиллерийская 6 (Индекс: 246022),Продажа и установка окон
Ай Ти-Телеком,ул. Головацкого 140 ,Аксессуары для автомобилей
Newix.by,ул. Гагарина 89 ,Напольные покрытия
Продукты,ул. Михаила Ломоносова 44 ,Товары для дома и дачи
Трапезная,ул. Мазурова 28А ,Кафе
ГАИ ОВД Гомельского района,ул. Степана Разина 9 ,Безопасность
Курсовой. бел,ул. Амурская 9 ,Наука и образование
"Савушкин Продукт, филиал",ул. Могилёвская 7 ,Недвижимость
Чисто тур,ул. Братьев Лизюковых 4А (Индекс: 246029),Турагентство
Приорбанк,ул. Рогачёвская 9 ,Бизнес
Гомельская областная научно-техническая библиотека - филиал РНТБ,ул. проспект Ленина 3 ,Культура и искусство
Italtherm в Беларуси,ул. Украинская 33 ,Мебель
Белпочта,ул. проспект Октября 81 ,Почта
Техносистемпроект,ул. Комсомольская 3А ,Производство и поставки
Гудвин,ул. Барыкина 97 ,Продажа кованых изделий
Гомельоблсоюзпечать,ул. Ильича 18 ,Культура и искусство
Нинель,ул. Черноморская 5А ,Уход за внешностью
Гомельоблтеплосеть,ул. Шилова 3 ,Коммунальные службы
МГ-БАЙ,ул. Богдана Хмельницкого 59 ,Автомобили
Сувениры,ул. Павлова 11 ,Магазин подарков и сувениров
Фестиваль плюс,ул. Быховская 109 ,Магазины секонд-хенд
АлиВия Трэвел,ул. Крестьянская 2 ,Турагентство
Отделение трансфузиологии У Гомельская областная клиническая больница,ул. Братьев Лизюковых 5 (Индекс: 246029),Медицина и фармацевтика
Garag-69,ул. Луговая 2А ,Шиномонтаж
Vision plus,ул. Жарковского 11 ,Наука и образование
Табакерка,ул. Гагарина 65 ,Товары для дома и дачи
На Озёрной,ул. 3-я Иногородняя 35 ,Шиномонтаж
Космозоо,ул. Интернациональная 11 ,"Семья, дети, домашние животные"
Белсип,ул. Дорожная 8 ,Строительство
Makey,ул. проспект Победы 5 (Индекс: 246022),Товары для дома и дачи
Приемный пункт № 9 химчистки Снежинка,ул. Ильича 85 ,Бытовые услуги
Детская комната,ул. Кирова 138 ,Развлечения
Интернет-магазин Детский Бутик,ул. Сосновая 10 ,Компьютеры и интернет
Установка дверей,ул. Свиридова 77 ,Стройматериалы
Т-Агент,ул. Борисенко 3 ,Бизнес
Техноцентр,ул. Якуба Коласа 4 ,Системы охраны
Парикмахерская,ул. Книжная 17Б ,Уход за внешностью
Гомельдрев,ул. Севастопольская 61/1 ,Производство и поставки
Анкрон,ул. Барыкина 277 ,Продажа электротехнической продукции
Хозтовары,ул. М.Г. Ефремова 8 ,Товары для дома и дачи
Велопарковка,ул. Красносельская 23 ,Велопарковка
Квартира на Сутки в Гомеле. Аренда Квартиры Гомсельмаш,ул. Рощинская 8 ,Туризм
Вивакс плюс,ул. Островского 101 ,Спорт
Emex Беларусь,ул. Советская 133 ,Автомобили
GIG.gomel,ул. Трудовая 3А ,Отдых и туризм
Велопарковка,ул. Владимирова 67 ,Велопарковка
Hvalana Apartments,ул. Т.С. Бородина 6 ,Недвижимость
Бал цветов,ул. Советская 97 ,Организация праздников
Фаберлик-РБ,ул. Оськина 48 ,Косметика и парфюмерия
Беларусбанк,ул. Братьев Лизюковых 5/12 (Индекс: 246029),Бизнес
Альфа-банк,ул. Речицкий проспект 5В ,Бизнес
Стоматологическая клиника Боброва,ул. Кирова 32А ,Медицина и фармацевтика
Мусорная площадка,ул. Богданова 2А ,Бытовые услуги
Религия,ул. проспект Октября 217 ,Ритуальные услуги
Обойная фабрика Вимала,ул. Тельмана 44 ,Производство и поставки
Инструмент Лес Сервис,ул. Шилова 2 ,Продажа деревообрабатывающего оборудования
Служба быта,ул. Ильича 89 ,Ремонт обуви
Автомобильная парковка,ул. Мазурова 60 ,Автомобили
Торговые ряды Привокзальные,ул. Шевченко 9А (Индекс: 246022),Товары для дома и дачи
Искамед,ул. проспект Космонавтов 22Б ,Медицина и фармацевтика
Копеечка,ул. Оськина 47 ,Товары для дома и дачи
Белнефтестрах,ул. Огоренко 33 ,Все виды страхования
Мусорная площадка,ул. 8-я Иногородняя 2 ,Бытовые услуги
ОДО АвтоХаус. Ко,ул. Рабочая 26 ,Аксессуары для автомобилей
Строительный трест № 14,ул. Тельмана 4 ,Строительство
Ремстройсервис,ул. Троллейбусная 12В ,Коммунальные службы
Sтанция,ул. Привокзальная площадь 4 ,Культура и искусство
Всё для сада и огорода,ул. Бориса Царикова 53А ,Товары для дома и дачи
Хуторок,ул. Жемчужная 7 ,Товары для дома и дачи
Альфа-Гомель,ул. Жарковского 22 ,Компьютеры и интернет
Корпорация чистоты,ул. Советская 52 (Индекс: 246003),Мойка и чистка ковров
